> x=-6.568, y=-6.855, z=24.274
FracGL -> x=-7.549, y=-9.101, z=23.498
FracGL -> x=-7.557, y=-9.114, z=23.501
FracGL -> x=-7.565, y=-9.127, z=23.505
FracGL -> x=-7.574, y=-9.141, z=23.508
FracGL -> x=-7.582, y=-9.154, z=23.512
FracGL -> x=-7.591, y=-9.168, z=23.516
FracGL -> x=-7.600, y=-9.181, z=23.520
FracGL -> x=-7.608, y=-9.194, z=23.524
FracGL -> x=-7.617, y=-9.208, z=23.528
FracGL -> x=-7.625, y=-9.221, z=23.532
FracGL -> x=-7.634, y=-9.235, z=23.537
FracGL -> x=-7.643, y=-9.248, z=23.541
FracGL -> x=-7.652, y=-9.261, z=23.545
FracGL -> x=-7.660, y=-9.275, z=23.550
FracGL -> x=-7.669, y=-9.288, z=23.555
FracGL -> x=-7.678, y=-9.301, z=23.560
FracGL -> x=-7.687, y=-9.315, z=23.564
FracGL -> x=-7.696, y=-9.328, z=23.569
FracGL -> x=-7.704, y=-9.342, z=23.574
FracGL -> x=-7.713, y=-9.355, z=23.580
FracGL -> x=-7.722, y=-9.368, z=23.585
FracGL -> x=-7.731, y=-9.381, z=23.590
FracGL -> x=-7.740, y=-9.395, z=23.596
FracGL -> x=-7.749, y=-9.408, z=23.601
FracGL -> x=-7.758, y=-9.421, z=23.607
FracGL -> x=-7.767, y=-9.435, z=23.612
FracGL -> x=-7.776, y=-9.448, z=23.618
FracGL -> x=-7.785, y=-9.461, z=23.624
FracGL -> x=-7.794, y=-9.474, z=23.630
FracGL -> x=-7.803, y=-9.488, z=23.636
FracGL -> x=-7.813, y=-9.501, z=23.642
FracGL -> x=-7.822, y=-9.514, z=23.649
FracGL -> x=-7.831, y=-9.527, z=23.655
FracGL -> x=-7.840, y=-9.540, z=23.661
FracGL -> x=-7.849, y=-9.554, z=23.668
FracGL -> x=-7.859, y=-9.567, z=23.675
FracGL -> x=-7.868, y=-9.580, z=23.681
FracGL -> x=-7.877, y=-9.593, z=23.688
FracGL -> x=-7.886, y=-9.606, z=23.695
FracGL -> x=-7.896, y=-9.619, z=23.702
FracGL -> x=-7.905, y=-9.632, z=23.709
FracGL -> x=-7.914, y=-9.645, z=23.716
FracGL -> x=-7.924, y=-9.658, z=23.724
FracGL -> x=-7.933, y=-9.671, z=23.731
FracGL -> x=-7.943, y=-9.684, z=23.739
FracGL -> x=-7.952, y=-9.697, z=23.746
FracGL -> x=-7.962, y=-9.710, z=23.754
FracGL -> x=-7.971, y=-9.723, z=23.762
FracGL -> x=-7.981, y=-9.736, z=23.770
FracGL -> x=-7.990, y=-9.749, z=23.778
FracGL -> x=-8.000, y=-9.762, z=23.786
